id_recorrido,duracion_recorrido,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,long_estacion_origen,lat_estacion_origen,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,long_estacion_destino,lat_estacion_destino,id_usuario,modelo_bicicleta
7736388BAEcobici,637,2020-05-18 07:39:29 UTC,13BAEcobici,013 - ONCE,Av. Pueyrredon & Av. Rivadavia,-58.406,-34.61009,2020-05-18 07:50:06 UTC,87BAEcobici,087 - Guayaquil,Guayaquil & Doblas,-58.4314942,-34.619845,70838BAEcobici,ICONIC
7736911BAEcobici,918,2020-05-18 12:10:33 UTC,87BAEcobici,087 - Guayaquil,Guayaquil & Doblas,-58.4314942,-34.619845,2020-05-18 12:25:51 UTC,13BAEcobici,013 - ONCE,Av. Pueyrredon & Av. Rivadavia,-58.406,-34.61009,70838BAEcobici,ICONIC
7737753BAEcobici,2479,2020-05-18 17:38:49 UTC,162BAEcobici,162 - LARREA Y BARTOLOMÉ MITRE,80 Larrea,-58.401924,-34.608985,2020-05-18 18:20:08 UTC,162BAEcobici,162 - LARREA Y BARTOLOMÉ MITRE,80 Larrea,-58.401924,-34.608985,70838BAEcobici,ICONIC
7737918BAEcobici,203,2020-05-18 18:45:08 UTC,64BAEcobici,064 - RIOBAMBA,Riobamba 1264 & Juncal,-58.3941087,-34.5936508,2020-05-18 18:48:31 UTC,30BAEcobici,030 - Peña,Peña & Azcuenaga,-58.3973698,-34.5908211,665839BAEcobici,ICONIC
7736324BAEcobici,201,2020-05-18 06:34:47 UTC,4BAEcobici,004 - Plaza Roma,Lavalle & Bouchard,-58.368781,-34.601822,2020-05-18 06:38:08 UTC,111BAEcobici,111 - MACACHA GUEMES,Machaca Guemes 350,-58.3646858,-34.6054877,564795BAEcobici,ICONIC
7737977BAEcobici,988,2020-05-18 19:14:42 UTC,132BAEcobici,132 - CORRIENTES,Reconquista & Corrientes Av.,-58.372763,-34.6033685,2020-05-18 19:31:10 UTC,73BAEcobici,073 - Ruy Díaz de Guzmán,Avenida Martin Garcia y Ruy Díaz de Guzmán,-58.3718235,-34.6306814,12542BAEcobici,ICONIC
7737539BAEcobici,1454,2020-05-18 16:23:06 UTC,7BAEcobici,007 - OBELISCO,CARLOS PELEGRINI 215,-58.381098,-34.606498,2020-05-18 16:47:20 UTC,25BAEcobici,025 - Plaza Guemes,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",-58.4161178,-34.5894269,223857BAEcobici,ICONIC
7737657BAEcobici,1933,2020-05-18 17:04:47 UTC,101BAEcobici,101 - Fitz Roy,Fitz Roy  1092 & Loyola,-58.4424397,-34.5891857,2020-05-18 17:37:00 UTC,101BAEcobici,101 - Fitz Roy,Fitz Roy  1092 & Loyola,-58.4424397,-34.5891857,665844BAEcobici,ICONIC
7737954BAEcobici,1622,2020-05-18 19:03:32 UTC,186BAEcobici,186 - MANZANA 66,2875 Moreno,-58.4064415,-34.6136356,2020-05-18 19:30:34 UTC,254BAEcobici,276 - PRIMERA JUNTA,Av. Rivadavia & Del Barco Centenera,-58.441607,-34.620717,300646BAEcobici,ICONIC
7738029BAEcobici,775,2020-05-18 19:48:18 UTC,255BAEcobici,374 - Puan,Yerbal 1290,-58.448547,-34.622092,2020-05-18 20:01:13 UTC,299BAEcobici,221 - CULPINA,Culpina 121,-58.466143,-34.631705,300646BAEcobici,ICONIC
7737780BAEcobici,926,2020-05-18 17:52:06 UTC,361BAEcobici,258 - Plaza J.J. Paso,1399 Moldes,-58.453608,-34.569187,2020-05-18 18:07:32 UTC,94BAEcobici,094 - GÚZMAN,Av Guzman 129 & Leiva,-58.449652,-34.591511,512381BAEcobici,ICONIC
7737645BAEcobici,738,2020-05-18 17:00:40 UTC,94BAEcobici,094 - GÚZMAN,Av Guzman 129 & Leiva,-58.449652,-34.591511,2020-05-18 17:12:58 UTC,351BAEcobici,235 - Colegiales,Zabala 2825,-58.4520772,-34.5717033,512381BAEcobici,ICONIC
7737398BAEcobici,1268,2020-05-18 15:35:24 UTC,223BAEcobici,178 - José Marmol,803 José Marmol,-58.424853,-34.6234,2020-05-18 15:56:32 UTC,188BAEcobici,373 - Jorgelina De Simone,Cochabamba 1755,-58.3904814,-34.623923,649934BAEcobici,ICONIC
7736253BAEcobici,1793,2020-05-18 04:58:47 UTC,91BAEcobici,091 - Pasco,708 Pasco & Chile,-58.397602,-34.6174482,2020-05-18 05:28:40 UTC,210BAEcobici,335 - General Urquiza,Figueroa Alcorta & Sarmiento,-58.411278,-34.572165,443322BAEcobici,ICONIC
7737975BAEcobici,1195,2020-05-18 19:12:41 UTC,49BAEcobici,049 - 33 Orientales,Constitucion & Treinta Y Tres Orientales,-58.422611,-34.6290527,2020-05-18 19:32:36 UTC,194BAEcobici,194 - PERÓN Y ACUÑA DE FIGUEROA,3997 TTE. GENERAL JUAN DOMINGO PERON,-58.4224635,-34.6060758,662495BAEcobici,ICONIC
7737185BAEcobici,1192,2020-05-18 14:12:50 UTC,258BAEcobici,336 - La Pampa,La Pampa 2512 & Ciudad de la Paz,-58.455334,-34.565521,2020-05-18 14:32:42 UTC,58BAEcobici,058 - Ministro Carranza,Santa Fe Av. & Dorrego,-58.4346883,-34.5752773,665849BAEcobici,ICONIC
7736914BAEcobici,908,2020-05-18 12:11:32 UTC,361BAEcobici,258 - Plaza J.J. Paso,1399 Moldes,-58.453608,-34.569187,2020-05-18 12:26:40 UTC,20BAEcobici,020 - Distrito Audiovisual,Zapiola & Dorrego,-58.4417756,-34.5798619,619089BAEcobici,ICONIC
7738066BAEcobici,1677,2020-05-18 20:12:42 UTC,101BAEcobici,101 - Fitz Roy,Fitz Roy  1092 & Loyola,-58.4424397,-34.5891857,2020-05-18 20:40:39 UTC,235BAEcobici,281 - Villa Urquiza,Triunvirato Av. & Roosevelt Franklin D. Av.,-58.487074,-34.573795,370751BAEcobici,ICONIC
7737978BAEcobici,1421,2020-05-18 19:15:15 UTC,91BAEcobici,091 - Pasco,708 Pasco & Chile,-58.397602,-34.6174482,2020-05-18 19:38:56 UTC,17BAEcobici,017 - Plaza Almagro,"441 Bulnes & Peron, Juan Domingo, Tte. General",-58.4187306,-34.6064101,534101BAEcobici,ICONIC
7737765BAEcobici,789,2020-05-18 17:42:42 UTC,194BAEcobici,194 - PERÓN Y ACUÑA DE FIGUEROA,3997 TTE. GENERAL JUAN DOMINGO PERON,-58.4224635,-34.6060758,2020-05-18 17:55:51 UTC,25BAEcobici,025 - Plaza Guemes,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",-58.4161178,-34.5894269,159565BAEcobici,ICONIC
7737346BAEcobici,535,2020-05-18 15:15:19 UTC,50BAEcobici,050 - Hospital Rivadavia,2516 Pereyra Lucena,-58.4010798,-34.5837348,2020-05-18 15:24:14 UTC,181BAEcobici,181 - BILLINGHURST Y MANSILLA,"1520 Billinghurst & Mansilla, Lucio Norberto, General",-58.4120072,-34.5926649,665865BAEcobici,ICONIC
7736478BAEcobici,1036,2020-05-18 08:23:21 UTC,231BAEcobici,384 - PLAZA BENITO NAZAR,"Virasoro, Valentin & Figueroa, D Apolinario, Coronel",-58.445897,-34.605109,2020-05-18 08:40:37 UTC,215BAEcobici,113 - Guatemala,Guatemala 4773,-58.424996,-34.585878,665866BAEcobici,ICONIC
7738072BAEcobici,986,2020-05-18 20:16:48 UTC,361BAEcobici,258 - Plaza J.J. Paso,1399 Moldes,-58.453608,-34.569187,2020-05-18 20:33:14 UTC,361BAEcobici,258 - Plaza J.J. Paso,1399 Moldes,-58.453608,-34.569187,665868BAEcobici,ICONIC
7736758BAEcobici,1209,2020-05-18 10:49:01 UTC,343BAEcobici,219 - Parque Chacabuco 2 / off line,Av. Asamblea & Faraday,-58.4411639,-34.6357272,2020-05-18 11:09:10 UTC,180BAEcobici,180 - CASTRO Y MEXICO,680 Castro & Mexico CABA,-58.420492,-34.619775,36744BAEcobici,ICONIC
7736469BAEcobici,1281,2020-05-18 08:19:08 UTC,85BAEcobici,085 - AGUERO,"Aguero & Mansilla, Lucio Norberto, General",-58.4091784,-34.5948057,2020-05-18 08:40:29 UTC,39BAEcobici,039 - CONGRESO II,Rivadavia Av. & Parana,-58.3876925,-34.6092213,16842BAEcobici,ICONIC
7736487BAEcobici,797,2020-05-18 08:28:56 UTC,190BAEcobici,190 - JUNCAL,"Juncal & Salguero, Jeronimo",-58.4111136,-34.5850763,2020-05-18 08:42:13 UTC,205BAEcobici,125 - F.J.Santamaria de Oro,F.J.Santamaria de Oro & Guatemala,-58.428016,-34.583323,364678BAEcobici,ICONIC
7738107BAEcobici,1698,2020-05-18 20:52:59 UTC,215BAEcobici,113 - Guatemala,Guatemala 4773,-58.424996,-34.585878,2020-05-18 21:21:17 UTC,56BAEcobici,056 - Plaza Palermo Viejo,Costa Rica & Armenia,-58.425999,-34.588567,364678BAEcobici,ICONIC
