long;lat;id;nombre;anio_de_in;tipo;cantidad;ubicacion;clasificac;calle;altura;calle2;barrio;comuna;codigo_postal;codigo_postal_argentino
-58,51033177;-34,66084408;380;ESC. PRIMARIA COMUN N° 07 ARISTOBULO DEL VALLE;2013;4U;1;VIA PUBLICA;ESCUELAS;CARHUE;2157;;Mataderos;Comuna 9;1440;C1440FNO
-58,42811965;-34,66078087;381;ESC. PRIMARIA COMUN N° 09 DR. JOSE BENJAMIN ZUBIAUR;2013;4U;1;VIA PUBLICA;ESCUELAS;BERG, CARLOS;3460;;Villa Soldati;Comuna 8;1437;C1437BEJ
-58,40981974;-34,62260561;382;ESC. NORMAL SUPERIOR N° 08 PTE. JULIO ARGENTINO ROCA (ANEXO);2013;4U;1;INTERIOR;ESCUELAS;CALVO, CARLOS;3150;;San Cristobal;Comuna 3;1230;C1230ABB
-58,45934323;-34,56941356;383;COLEGIO N° 08 JULIO ARGENTINO ROCA;2013;4U;1;INTERIOR;ESCUELAS;ZUBERBUHLER, CARLOS E.;1830;;Belgrano;Comuna 13;1426;C1426ASD
-58,41930065;-34,62390176;384;ESC. PRIMARIA COMUN N° 14 INTENDENTE ALVEAR;2013;4U;1;VIA PUBLICA;ESCUELAS;CASTRO BARROS;965;;Boedo;Comuna 5;1217;C1217ABI
-58,37570174;-34,61882678;385;COLEGIO N° 07 JUAN MARTIN DE PUEYRREDON;2013;4U;1;INTERIOR;ESCUELAS;CHACABUCO;922;;San Telmo;Comuna 1;1069;C1069AAT
-58,49657542;-34,65402334;386;ESC. PRIMARIA COMUN N° 02 ISABEL LA CATOLICA;2013;4U;1;VIA PUBLICA;ESCUELAS;CHASCOMUS;5598;;Mataderos;Comuna 9;1440;C1440AQP
-58,46754438;-34,67927735;387;ESC. TECNICA N° 13 ING. JOSE LUIS DELPINI;2013;4U;1;INTERIOR;ESCUELAS;CHILAVERT, MARTINIANO, CORONEL;5460;;Villa Lugano;Comuna 8;1439;C1439CLF
-58,45989155;-34,6294849;388;ESC. DE COMERCIO N° 09 JOSE INGENIEROS;2013;4U;1;VIA PUBLICA;ESCUELAS;FALCON, RAMON L.,CNEL.;2248;;Flores;Comuna 7;1406;C1406GNT
-58,40461792;-34,62571317;389;ESC. TECNICA N° 11 MANUEL BELGRANO;2013;4U;2;INTERIOR;ESCUELAS;COCHABAMBA;2830;;San Cristobal;Comuna 3;1252;C1252AAV
-58,50248861;-34,59945315;390;ESC. TECNICA N° 16 ESPAÑA;2013;4U;1;INTERIOR;ESCUELAS;CONCORDIA;3555;;Villa Devoto;Comuna 11;1419;C1419ANA
-58,46801414;-34,62778619;391;COLEGIO N° 09 JUSTO JOSE DE URQUIZA;2013;4U;1;INTERIOR;ESCUELAS;CONDARCO;290;;Flores;Comuna 7;1406;C1406AFD
-58,46022787;-34,56760675;392;LICEO N° 09 SANTIAGO DERQUI;2013;4U;1;INTERIOR;ESCUELAS;CONESA;1855;;Belgrano;Comuna 13;1428;C1428CUA
-58,50787304;-34,65177747;393;ESC. PRIMARIA COMUN N° 20 JUAN RAMON JIMENEZ;2013;4U;1;VIA PUBLICA;ESCUELAS;MURGUIONDO;1347;;Mataderos;Comuna 9;1440;C1440CNE
-58,46171568;-34,5644718;394;ESC. DE EDUCACION MEDIA N° 05/10° HEROES DE MALVINAS;2013;4U;1;INTERIOR;ESCUELAS;CRAMER AV.;2136;;Belgrano;Comuna 13;1428;C1428CTH
-58,45736648;-34,55798866;395;ESC. TECNICA N° 28 REPUBLICA FRANCESA;2013;4U;1;INTERIOR;ESCUELAS;CUBA;2410;;Belgrano;Comuna 13;1428;C1428AEN
-58,40483417;-34,6320372;396;ESC. NORMAL SUPERIOR N° 11 DR. RICARDO LEVENE;2013;4U;1;INTERIOR;ESCUELAS;DEAN FUNES;1821;;Parque Patricios;Comuna 4;1244;C1244AAM
-58,42464925;-34,6139312;397;ESC. PRIMARIA COMUN N° 16 JOSE MARIA RAMOS MEJIA;2013;4U;1;VIA PUBLICA;ESCUELAS;DON BOSCO;4200;;Almagro;Comuna 5;1206;C1206ABP
-58,49880135;-34,63084249;398;ESC. PRIMARIA COMUN N° 10 ADA MARIA ELFLEIN;2013;4U;1;VIA PUBLICA;ESCUELAS;BELAUSTEGUI, LUIS, DR.;4949;;Velez Sarsfield;Comuna 10;1407;C1407EYG
-58,48572755;-34,66682589;399;ESC. PRIMARIA COMUN N° 22 SANTA MARIA DE LOS BUENOS AIRES;2013;4U;1;VIA PUBLICA;ESCUELAS;ECHEANDIA;5650;;Villa Lugano;Comuna 8;1439;C1439BJZ
-58,52374654;-34,63754258;400;COLEGIO N° 13 CNEL. TOMAS ESPORA;2013;4U;1;INTERIOR;ESCUELAS;GALLARDO;149;;Liniers;Comuna 9;1408;C1408BSA
-58,43195976;-34,58876956;401;ESC. DE EDUCACION MEDIA N° 05/21° JUAN MANUEL FANGIO;2013;4U;1;VIA PUBLICA;ESCUELAS;GORRITI;5091;;Palermo;Comuna 14;1414;C1414BJQ
